codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
SCA-P01;ficha;1...d5 cambia la pregunta central;Ampliación A;1.e4 d5;rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq d6 0 2;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P01
SCA-P02;ficha;La dama recupera, pero queda expuesta;Ampliación A;1.e4 d5 2.exd5 Dxd5;rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P02
SCA-P03;ficha;3...Da5 estabiliza la dama;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5;rnb1kbnr/ppp1pppp/8/q7/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 4;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P03
SCA-P04;ficha;...Cf6 empieza a devolver el tiempo;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6;rnb1kb1r/ppp1pppp/5n2/q7/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P04
SCA-P05;ficha;...c6 fija el esqueleto;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6;rnb1kb1r/pp2pppp/2p2n2/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P05
SCA-P06;ficha;...Af5 justifica el orden de jugadas;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6 6.Ac4 Af5;rn2kb1r/pp2pppp/2p2n2/q4b2/2BP4/2N2N2/PPP2PPP/R1BQK2R w KQkq - 2 7;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P06
SCA-P07;ficha;...e6 consolida sin encerrar al alfil;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6 6.Ac4 Af5 7.Ad2 e6;rn2kb1r/pp3ppp/2p1pn2/q4b2/2BP4/2N2N2/PPPB1PPP/R2QK2R w KQkq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P07
SCA-P08;ficha;...Ab4 crea una decisión concreta;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6 6.Ac4 Af5 7.Ad2 e6 8.De2 Ab4;rn2k2r/pp3ppp/2p1pn2/q4b2/1bBP4/2N2N2/PPPBQPPP/R3K2R w KQkq - 2 9;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P08
SCA-P09;ficha;O-O-O cambia la geometría del rey;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6 6.Ac4 Af5 7.Ad2 e6 8.De2 Ab4 9.O-O-O Cbd7;r3k2r/pp1n1ppp/2p1pn2/q4b2/1bBP4/2N2N2/PPPBQPPP/2KR3R w kq - 4 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P09
SCA-P10;ficha;h3 anuncia la expansión;Ampliación A;1.e4 d5 2.exd5 Dxd5 3.Cc3 Da5 4.d4 Cf6 5.Cf3 c6 6.Ac4 Af5 7.Ad2 e6 8.De2 Ab4 9.O-O-O Cbd7 10.h3;r3k2r/pp1n1ppp/2p1pn2/q4b2/1bBP4/2N2N1P/PPPBQPP1/2KR3R b kq - 0 10;Negras;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;SCA-P10
