codigo,tipo,titulo,capítulo,secuencia,FEN,bando_que_mueve,objetivo,nivel,comentario_blancas,comentario_negras,continuidad_didactica,referencia_en_manual
ESC-P01,ficha_posicion,Centro simétrico antes de la ruptura,Ampliación A · 12 análisis posición por posición,e2e4 e7e5,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2,blancas,Igualdad dinámica inicial; las blancas eligen el momento de abrir.,progresivo,"Jugar Cf3, d4 y recuperar con Cxd4, manteniendo piezas activas.",Desarrollar Cc6 y contestar d4 con ...exd4 para evitar que las blancas mantengan dos peones centrales.,2.Cf3 Cc6 3.d4: desarrollo con amenaza y ruptura inmediata. Error a evitar: 2.Dh5?! expone la dama a ...Cc6 y no desarrolla una pieza.,ESC-P01 · Ampliación A
ESC-P02,ficha_posicion,Desarrollo con presión sobre e5,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,blancas,"Ligera iniciativa blanca por llevar la mano, sin ventaja material.",progresivo,Abrir el centro con d4 antes de mover peones laterales.,Aceptar la ruptura con ...exd4 y desarrollar ...Cf6 o ...Ac5.,3.d4 exd4 4.Cxd4: el caballo recupera con actividad. Error a evitar: 3.Cxe5? permite ...Cxe5 y pierde el caballo tras la secuencia de cambios.,ESC-P02 · Ampliación A
ESC-P03,ficha_posicion,La ruptura 3.d4 obliga a decidir,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4,r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,blancas,Centro abierto inminente; el desarrollo rápido vale más que un peón lateral.,progresivo,"Recuperar con Cxd4; evitar 4.Dxd4, que permite ...Cxd4 con ganancia de tiempo en muchas desviaciones.",Atacar e4 con ...Cf6 o presionar el caballo d4 con ...Ac5.,4.Cxd4 Cf6: conservar la dama y desarrollar con tempo. Error a evitar: 4.Dxd4?! deja la dama vulnerable a ...Cc6 y obliga a gastar tiempos.,ESC-P03 · Ampliación A
ESC-P04,ficha_posicion,Recaptura activa y respuesta 4...Cf6,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6,r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,blancas,Posición principal de la Escocesa: actividad equilibrada y decisiones concretas.,progresivo,Responder a ...Cf6 con Cxc6 para alterar la estructura y después desarrollar Ad3.,"Tras Cxc6, recapturar ...bxc6 para conservar la pareja de alfiles y preparar ...d5.",5.Cxc6 bxc6 6.Ad3: crear un objetivo estructural y preparar el enroque. Error a evitar: 5.Cxc6 sin plan posterior y luego e5 prematuro puede dejar al rey en el centro.,ESC-P04 · Ampliación A
ESC-P05,ficha_posicion,Estructura asimétrica tras Cxc6 y ...bxc6,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6,r1bqkb1r/p1pp1ppp/2p2n2/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,blancas,"Desequilibrio sano: blancas tienen estructura más limpia; negras, pareja de alfiles y columnas.",progresivo,"Desarrollar Ad3, enrocar y decidir si conviene e5 o exd5 según la preparación negra.","Jugar ...d5 con apoyo, desarrollar ...Ae7 y enrocar antes de usar la columna b.",6.Ad3 d5 7.exd5: obligar a las negras a definir su centro. Error a evitar: 6.f3?! debilita e3 y retrasa el enroque sin resolver el desarrollo.,ESC-P05 · Ampliación A
ESC-P06,ficha_posicion,Preparar la transformación con Ad3 y ...d5,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5,r1bqkb1r/p1p2ppp/2p2n2/3p4/4P3/3B4/PPP2PPP/RNBQK2R w KQkq d6 0 7,blancas,Tensión central crítica. Quien calcule mejor la secuencia de capturas coordinará antes.,progresivo,"Calcular exd5; si las negras recapturan con el peón c, atacar d5 con Cc3, Te1 y Df3.","Si exd5, recapturar ...cxd5 para activar la torre c8 y sostener un centro móvil.",7.exd5 cxd5 8.O-O: abrir líneas solo después de asegurar el rey. Error a evitar: 7.e5?! cuando ...Cd7 y ...c5 permiten a las negras atacar la cadena.,ESC-P06 · Ampliación A
ESC-P07,ficha_posicion,Peón negro en d5 y líneas abiertas,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5,r1bqkb1r/p1p2ppp/5n2/3p4/8/3B4/PPP2PPP/RNBQK2R w KQkq - 0 8,blancas,"Medio juego abierto con objetivo estable en d5, pero buena actividad negra.",progresivo,"Enrocar, colocar una torre en e1 y desarrollar el caballo b1 sin bloquear el alfil c1.",Desarrollar ...Ae7 y enrocar; luego ...c5 para fijar el peón d5 o empujarlo a d4.,8.O-O Ae7 9.Te1: la torre ocupa una columna útil. Error a evitar: 8.Ab5+?! busca un jaque decorativo y deja el rey blanco sin enrocar.,ESC-P07 · Ampliación A
ESC-P08,ficha_posicion,Enroque blanco y desarrollo negro,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 f8e7,r1bqk2r/p1p1bppp/5n2/3p4/8/3B4/PPP2PPP/RNBQ1RK1 w kq - 2 9,blancas,Blancas listas para Te1; negras aún deben enrocar antes de emprender acciones centrales.,progresivo,Jugar Te1 y Cd2; no iniciar un ataque en h7 mientras el caballo b1 siga en casa.,Enrocar y jugar ...c5; evitar ...d4 si deja e4 o c4 sin control.,9.Te1 O-O 10.Cd2: completar desarrollo antes de atacar. Error a evitar: 9.c4?! antes de Te1 puede dejar d4 débil y dificultar el desarrollo del caballo.,ESC-P08 · Ampliación A
ESC-P09,ficha_posicion,Torres activas en la columna e,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 f8e7 f1e1 e8g8,r1bq1rk1/p1p1bppp/5n2/3p4/8/3B4/PPP2PPP/RNBQR1K1 w - - 4 10,blancas,Equilibrio activo. La columna e y la casilla d5 organizan los planes.,progresivo,"Desarrollar Cd2, b3 y Ab2; presionar d5 con Df3 o c4 cuando sea seguro.",Activar ...c5 y ...Te8; buscar ...d4 cuando el caballo blanco no pueda ocupar c4.,"10.Cd2 c5 11.b3: preparar Ab2 y reforzar el control de d4/e5. Error a evitar: 10.Cf5?! parece agresivo, pero ...Axf5 y ...c5 neutralizan la presión.",ESC-P09 · Ampliación A
ESC-P10,ficha_posicion,Contrajuego negro con ...c5,Ampliación A · 12 análisis posición por posición,e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 d4c6 b7c6 f1d3 d7d5 e4d5 c6d5 e1g1 f8e7 f1e1 e8g8 b1d2 c7c5,r1bq1rk1/p3bppp/5n2/2pp4/8/3B4/PPPN1PPP/R1BQR1K1 w - c6 0 11,blancas,Las negras obtienen contrajuego real; las blancas deben completar su desarrollo sin defender pasivamente.,progresivo,"Responder a ...c5 con desarrollo: b3, Ab2 y Df3; reservar c4 para cuando no debilite d4.",Completar ...Te8 y ...Ae6; presionar e2/e1 si la torre blanca queda expuesta.,11.b3 Te8 12.Ab2: enfrentar el alfil al peón d5. Error a evitar: 11.c4?! sin calcular ...d4 concede un puesto fuerte en e4 al caballo negro.,ESC-P10 · Ampliación A
