codigo;tipo;titulo;capítulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
ESP-P01;posición;Ocupar el centro;Ampliación A;e2e4 e7e5;rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2;blancas;Reconocer la evolución de la Española;800–1400;Cf3 desarrolla con amenaza sobre e5 y acerca el enroque. La alternativa Cc3 es sana, pero no obliga a las negras a explicar cómo sostendrán e5.;Las negras han igualado presencia en el centro. Su respuesta natural es ...Cc6: defiende e5, controla d4 y desarrolla una pieza.;Tras 1.e4 e5, ambos bandos reclaman espacio central y abren líneas para dama y alfil. Continuación recomendada: Cf3. Respuesta esperada: Cc6. Error típico: Mover la dama para atacar e5: crea una amenaza aparente, pero pierde tiempos de desarrollo.;Ficha ESP-P01
ESP-P02;posición;Desarrollar atacando;Ampliación A;e2e4 e7e5 g1f3 b8c6;r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3;blancas;Reconocer la evolución de la Española;800–1400;3.Ab5 desarrolla el alfil, prepara O-O y aumenta la presión sobre el caballo que sostiene e5. No gana el peón todavía: tras Axc6 dxc6 Cxe5, las negras suelen disponer de Dd4.;Las negras pueden elegir ...a6, ...Cf6 o ...f5. Para el repertorio principal, ...a6 pregunta al alfil y gana espacio sin resolver todavía la tensión central.;"Después de 2.Cf3 Cc6, el peón e5 está defendido y la casilla d4 queda bajo control negro. Continuación recomendada: Ab5. Respuesta esperada: a6. Error típico: 3.Cxe5? Cxe5 entrega una pieza por un peón; atacar no significa que la captura sea posible.";Ficha ESP-P02
ESP-P03;posición;La presión española;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6;r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4;blancas;Reconocer la evolución de la Española;800–1400;4.Aa4 conserva el alfil de casillas blancas, mantiene la presión indirecta sobre e5 y obliga a las negras a invertir otro tiempo si desean ganar espacio con ...b5.;4...Cf6 desarrolla atacando e4. Las negras no temen la clavada porque su rey aún no está enrocado y, en muchas líneas, pueden responder activamente con ...b5 y ...Ae7.;Tras 3.Ab5 a6, el alfil debe decidir entre conservar la tensión o cambiar en c6. Continuación recomendada: Aa4. Respuesta esperada: Cf6. Error típico: 4.Axc6 por automatismo: es jugable, pero cambia por completo el plan y entrega la pareja de alfiles.;Ficha ESP-P03
ESP-P04;posición;Conservar el alfil y enrocar;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6;r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5;blancas;Reconocer la evolución de la Española;800–1400;5.O-O es prioritario: pone el rey a salvo, activa Tf1 y permite responder a ...Cxe4 con d4, abriendo el centro cuando el caballo negro está expuesto.;Las negras deben decidir entre ...Ae7, ...Cxe4 y ...b5. ...Ae7 es la opción más estable: prepara el enroque y elimina cualquier futura clavada sobre el rey.;El alfil está en a4 y el caballo negro de f6 presiona e4. Continuación recomendada: O-O. Respuesta esperada: Ae7. Error típico: Defender e4 con d3 sin comparar: es sólido, pero renuncia momentáneamente al recurso activo d4.;Ficha ESP-P04
ESP-P05;posición;Rey seguro y torre activa;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7;r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6;blancas;Reconocer la evolución de la Española;800–1400;6.Te1 refuerza e4 con una pieza, libera f1 para maniobras y coloca la torre frente al rey negro si el centro se abre.;6...b5 gana espacio y obliga al alfil a retirarse. Las negras obtienen territorio en el flanco de dama, pero crean casillas que pueden debilitarse, especialmente c6 y a6.;Después de 5.O-O Ae7, ambos bandos están cerca de completar el desarrollo del flanco de rey. Continuación recomendada: Te1. Respuesta esperada: b5. Error típico: 6.d4?! antes de Te1: puede ser correcto tácticamente, pero exige más cálculo y ofrece menos margen de error.;Ficha ESP-P05
ESP-P06;posición;Espacio negro y alfil en b3;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5;r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq b6 0 7;blancas;Reconocer la evolución de la Española;800–1400;7.Ab3 conserva la diagonal b1-h7 y mantiene la vista sobre f7. También deja libre a2 para una retirada futura si ...Ca5 gana tiempo.;7...d6 sostiene e5 y abre el alfil de c8. Es sólida, pero bloquea temporalmente ese alfil y hace de ...d5 la ruptura liberadora que las negras deben preparar.;Tras ...b5, el alfil debe elegir una diagonal útil. Continuación recomendada: Ab3. Respuesta esperada: d6. Error típico: 7.Ac2?! es posible, pero permite que las negras ganen espacio sin haber obligado aún al alfil a abandonar b3.;Ficha ESP-P06
ESP-P07;posición;Preparar d4;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6;r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w kq - 0 8;blancas;Reconocer la evolución de la Española;800–1400;8.c3 prepara d4, ofrece c2 al alfil y evita que un caballo negro se instale cómodamente en d4. No amenaza nada inmediato: es una jugada de infraestructura.;8...O-O asegura el rey. A partir de aquí, las negras pueden reorganizarse con ...Cb8-d7, ...Te8 y ...Af8, o buscar ...d5 si la táctica lo permite.;Con el centro sostenido por ...d6, las blancas deben decidir cómo construir su ruptura. Continuación recomendada: c3. Respuesta esperada: O-O. Error típico: 8.d4?! sin c3: abre el centro, pero deja menos apoyo al peón d y puede permitir ...exd4 con simplificación cómoda.;Ficha ESP-P07
ESP-P08;posición;Profilaxis útil;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8;r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9;blancas;Reconocer la evolución de la Española;800–1400;9.h3 evita ...Ag4, que podría clavar Cf3 y aumentar la presión sobre e4. También crea una casilla de escape para el rey, pero no debe convertirse en una excusa para lanzar g4.;Las negras eligen una reorganización. ...Cb8 parece retroceder, pero libera c6 para un peón y prepara ...Cbd7, reforzando e5 sin bloquear el peón c.;Ambos reyes están seguros y la lucha gira alrededor de d4 y ...d5. Continuación recomendada: h3. Respuesta esperada: Cb8. Error típico: 9.a4 por reflejo: puede cuestionar b5, pero primero debe comprobarse si el centro requiere una decisión más urgente.;Ficha ESP-P08
ESP-P09;posición;La ruptura d4;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8;rnbq1rk1/2p1bppp/p2p1n2/1p2p3/4P3/1BP2N1P/PP1P1PP1/RNBQR1K1 w - - 1 10;blancas;Reconocer la evolución de la Española;800–1400;"10.d4 reclama espacio y desafía e5. Si las negras mantienen la tensión, las blancas ganan libertad; si capturan, se abren líneas para las piezas blancas.";10...Cbd7 completa la idea de ...Cb8: el caballo refuerza e5, controla c5 y f6 y deja c6 disponible para ...c6 o una maniobra de dama.;Tras ...Cb8, las negras han concedido un tiempo para reorganizarse. Continuación recomendada: d4. Respuesta esperada: Cbd7. Error típico: 10.Cbd2?! es lógica, pero permite que las negras jueguen ...Ab7 y ...Te8 antes de que el centro sea desafiado.;Ficha ESP-P09
ESP-P10;posición;Desarrollar sin bloquear;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7 f1e1 b7b5 a4b3 d7d6 c2c3 e8g8 h2h3 c6b8 d2d4 b8d7;r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11;blancas;Reconocer la evolución de la Española;800–1400;11.Cbd2 desarrolla el caballo por d2 para no bloquear el peón c. Su ruta típica es f1-g3, desde donde apoya f5, h5 y e4.;11...c5 ataca la base d4 y gana espacio en el flanco de dama. A cambio, fija casillas oscuras y puede dejar d5 como puesto avanzado si las blancas cierran.;El centro está tenso y las negras han reforzado e5. Continuación recomendada: Cbd2. Respuesta esperada: c5. Error típico: 11.Ag5?! desarrolla, pero permite ...h6 y concede a las negras un plan fácil sin resolver el destino del caballo b1.;Ficha ESP-P10
