codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
FRA-P01;ficha;Análisis bilateral;Ampliación A;;rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P01
FRA-P02;ficha;Análisis bilateral;Ampliación A;;rnbqkbnr/pp3ppp/4p3/2pP4/3P4/8/PPPN1PPP/R1BQKBNR b KQkq - 0 4;Negras;4...exd5 es la recaptura temática: conserva un peón en d5 y abre la diagonal c8-h3. 4...Dxd5 también recupera, pero expone la dama a Cgf3 y Ac4 y concede tiempos de desarrollo. El objetivo negro no es 'defender un peón', sino conseguir actividad suficiente para que d5 no sea un blanco estático.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P02
FRA-P03;ficha;Análisis bilateral;Ampliación A;;r1bqkbnr/pp3ppp/2n5/2pp4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P03
FRA-P04;ficha;Análisis bilateral;Ampliación A;;r1bqk2r/pp2nppp/2nb4/1Bpp4/3P4/5N2/PPPN1PPP/R1BQ1RK1 w kq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P04
FRA-P05;ficha;Análisis bilateral;Ampliación A;;r1bqk2r/pp2nppp/2nb4/1B1p4/8/1N3N2/PPP2PPP/R1BQ1RK1 w kq - 0 10;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P05
FRA-P06;ficha;Análisis bilateral;Ampliación A;;rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/8/PPPN1PPP/R1BQKBNR w KQkq - 0 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P06
FRA-P07;ficha;Análisis bilateral;Ampliación A;;r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq - 0 7;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P07
FRA-P08;ficha;Análisis bilateral;Ampliación A;;r1bqkb1r/pp1n2pp/2n1pp2/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq - 0 9;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P08
FRA-P09;ficha;Análisis bilateral;Ampliación A;;r1bqk2r/pp4pp/2nbpn2/3p4/3P4/3B1N2/PP1N1PPP/R1BQK2R w KQkq - 0 11;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P09
FRA-P10;ficha;Análisis bilateral;Ampliación A;;r1bqkbnr/pppn1ppp/4p3/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 0 5;Blancas;"5.Cf3 desarrolla atacando e5/d4 y prepara 0-0; 5.Ad3 también desarrolla, pero el caballo g1 sigue bloqueando el enroque; 5.c3 es innecesaria porque ya no existe una cadena d4-e5 que sostener. 5.Cf3 cumple dos objetivos con un solo tiempo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;FRA-P10
