codigo;tipo;titulo;capítulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
ITA-P01;posición;Ocupar y disputar el centro;Ampliación A;e2e4 e7e5;rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq e6 0 2;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P01.;Ficha ITA-P01
ITA-P02;posición;Desarrollar con una amenaza;Ampliación A;e2e4 e7e5 g1f3 b8c6;r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P02.;Ficha ITA-P02
ITA-P03;posición;La posición base de la Italiana;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5;r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P03.;Ficha ITA-P03
ITA-P04;posición;Rey seguro antes de abrir;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6;r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 6 5;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P04.;Ficha ITA-P04
ITA-P05;posición;Preparar la ruptura;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3;r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5;negras;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P05.;Ficha ITA-P05
ITA-P06;posición;La ruptura d4;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4;r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 b - d3 0 6;negras;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P06.;Ficha ITA-P06
ITA-P07;posición;Centro abierto y desarrollo;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6;r1bq1rk1/pppp1ppp/1bn2n2/8/2BPP3/5N2/PP3PPP/RNBQ1RK1 w - - 1 8;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P07.;Ficha ITA-P07
ITA-P08;posición;Coordinar antes de atacar;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 e1g1 g8f6 c2c3 e8g8 d2d4 e5d4 c3d4 c5b6 b1c3 d7d6 c1e3 c8g4 f1e1 f8e8;r2qr1k1/ppp2ppp/1bnp1n2/8/2BPP1b1/2N1BN2/PP3PPP/R2QR1K1 w - - 4 11;blancas;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P08.;Ficha ITA-P08
ITA-P09;posición;Esquema cerrado con d3;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3;r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b kq - 0 6;negras;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P09.;Ficha ITA-P09
ITA-P10;posición;La ruta del caballo;Ampliación A;e2e4 e7e5 g1f3 b8c6 f1c4 f8c5 d2d3 g8f6 e1g1 d7d6 c2c3 e8g8 f1e1 a7a6 c4b3 c5a7 h2h3 h7h6 b1d2 f8e8 d2f1 c8e6 f1g3;r2qr1k1/bpp2pp1/p1npbn1p/4p3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - - 5 12;negras;Reconocer la evolución de la Apertura Italiana y elegir el siguiente paso lógico.;800–1400;Aplicar desarrollo, seguridad del rey, ruptura central y mejora de la peor pieza según la estructura.;Buscar presión sobre e4 y la ruptura liberadora ...d5 sin descuidar el desarrollo.;Reproducir la secuencia, explicar el plan de ambos bandos y continuar sin memorizar desde ITA-P10.;Ficha ITA-P10
