codigo,tipo,titulo,capítulo,secuencia,FEN,bando_que_mueve,objetivo,nivel,comentario_blancas,comentario_negras,continuidad_didactica,referencia_en_manual
SIC-P01,ficha,Punto de partida del repertorio. 1...c5 no ocupa e5: ataca d4 con un peón de flanco y crea una lucha asimétrica desde la primera jugada.,Ampliación A,1.e4 c5,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq c6 0 2,Blancas,"2.c3 para preparar d4, reducir la teoría de la Siciliana Abierta y llegar a estructuras repetibles.",800–1400,"2.c3 para preparar d4, reducir la teoría de la Siciliana Abierta y llegar a estructuras repetibles.","Responder con ...Cf6 o ...d5 antes de que e4-d4 se estabilice; si el blanco juega lento, golpear el centro.","SIC-P02, SIC-P03, SIC-P05 · SIC-E01, SIC-E02 · Repertorio práctico de la Parte XII.",SIC-P01
SIC-P02,ficha,"Las blancas han jugado 2.c3. Ahora d4 está preparado, pero c3 queda ocupado y el caballo b1 no puede desarrollarse por su casilla natural.",Ampliación A,1.e4 c5 2.c3,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Negras,Jugar d4 en cuanto el negro no lo impida; contra ...Cf6 responder con e5 y contra ...d5 aclarar el centro con exd5.,800–1400,Jugar d4 en cuanto el negro no lo impida; contra ...Cf6 responder con e5 y contra ...d5 aclarar el centro con exd5.,"2...Cf6 ataca e4 con desarrollo; 2...d5 rompe de inmediato. 2...Cc6 es jugable, pero permite al blanco ocupar d4 con comodidad.","SIC-P03, SIC-P05, SIC-P07 · SIC-E02, SIC-E03, SIC-E04.",SIC-P02
SIC-P03,ficha,2...Cf6 desarrolla una pieza y ataca e4 antes de que el blanco haya jugado d4. El negro usa el pequeño retraso creado por c3.,Ampliación A,1.e4 c5 2.c3 Nf6,rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,Blancas,"3.e5, después d4, Cf3 y desarrollo. No perseguir al caballo d5 con peones hasta asegurar la base de la cadena.",800–1400,"3.e5, después d4, Cf3 y desarrollo. No perseguir al caballo d5 con peones hasta asegurar la base de la cadena.","Tras 3.e5 Cd5, preparar ...d6 para atacar la cadena e5-d4 y abrir el alfil c8.","SIC-P04 · SIC-S01 · SIC-M01-P1 · SIC-E03, SIC-E16.",SIC-P03
SIC-P04,ficha,El blanco ya ha ganado espacio con e5 y ha jugado d4; las negras han cambiado en d4. El peón negro en d4 ocupa temporalmente el centro.,Ampliación A,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 cxd4 5.Nf3,rnbqkb1r/pp1ppppp/8/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 1 5,Negras,"Recapturar cxd4 cuando corresponda, desarrollar Ac4/Ae2, enrocar y sostener d4 antes de pensar en c4 o f4.",800–1400,"Recapturar cxd4 cuando corresponda, desarrollar Ac4/Ae2, enrocar y sostener d4 antes de pensar en c4 o f4.",...Cc6 aumenta presión sobre d4/e5; ...d6 ataca la cadena; ...e6 prepara desarrollo y apoyo central.,"SIC-S01 · SIC-M01-P2 · SIC-E06, SIC-E17.",SIC-P04
SIC-P05,ficha,"Las negras han respondido 2...d5 y, tras exd5, recuperan con la dama en d5. La tensión central se aclara antes de que el blanco construya d4",Ampliación A,1.e4 c5 2.c3 d5 3.exd5 Qxd5,rnb1kbnr/pp2pppp/8/2pq4/8/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 4,Blancas,"4.d4, seguido de Cf3, Ae2 y O-O. c4 solo cuando gane espacio sin crear debilidades mayores.",800–1400,"4.d4, seguido de Cf3, Ae2 y O-O. c4 solo cuando gane espacio sin crear debilidades mayores.","Desarrollar ...Cf6 y ...e6; retirar la dama si c4 la ataca, sin gastar más tiempos de los necesarios.","SIC-P06 · SIC-S02 · SIC-M02-P1/P2 · SIC-E04, SIC-E20.",SIC-P05
SIC-P06,ficha,Blancas ya tienen d4 y Cf3; negras han desarrollado Cf6 y reforzado el centro con ...e6. La apertura entra en una fase de desarrollo normal.,Ampliación A,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 Nf6 5.Nf3 e6,rnb1kb1r/pp3ppp/4pn2/2pq4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,Blancas,"Ae2, O-O, y después c4 o Ae3 según la colocación negra. Si c4 gana un tiempo, preparar Cc3 y torres centrales.",800–1400,"Ae2, O-O, y después c4 o Ae3 según la colocación negra. Si c4 gana un tiempo, preparar Cc3 y torres centrales.","...Ae7, ...O-O y ...Cc6; presionar d4 y aprovechar d5 si el centro blanco se fija.","SIC-S02, SIC-S04 · SIC-M02-P3 · SIC-E12, SIC-E22.",SIC-P06
SIC-P07,ficha,"Las negras eligieron ...Cc6 en vez de ...Cf6 o ...d5. El blanco aprovechó el tiempo con d4 y, tras ...cxd4, cxd4 construyó e4-d4.",Ampliación A,1.e4 c5 2.c3 Nc6 3.d4 cxd4 4.cxd4,r1bqkbnr/pp1ppppp/2n5/8/3PP3/8/PP3PPP/RNBQKBNR b KQkq - 0 4,Negras,"Cf3, Cc3, Ae3/Ac4 y O-O; responder a ...d5 con cálculo, no con defensa pasiva.",800–1400,"Cf3, Cc3, Ae3/Ac4 y O-O; responder a ...d5 con cálculo, no con defensa pasiva.",4...d5 es el golpe principal; ...Nf6 también aumenta presión. ...e5 gana espacio pero deja d5 como casilla.,"SIC-M03-P1/P2 · SIC-E05, SIC-E20 · Parte V, Plan A.",SIC-P07
SIC-P08,ficha,Las negras adoptan ...d6 y ...g6. El centro blanco e4-d4 está construido y el fianchetto negro prepara presión sobre d4 por la diagonal g7-a,Ampliación A,1.e4 c5 2.c3 d6 3.d4 cxd4 4.cxd4 Nf6 5.Nc3 g6,rnbqkb1r/pp2pp1p/3p1np1/8/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,Blancas,"Cf3, Ae3/Ae2, O-O y decidir entre f3 o d5 solo después de neutralizar la ruptura ...d5.",800–1400,"Cf3, Ae3/Ae2, O-O y decidir entre f3 o d5 solo después de neutralizar la ruptura ...d5.","...Ag7, ...O-O y ...d5. La presión central es más importante que una expansión de peones en el flanco de dama.","SIC-E10, SIC-E21 · Parte IV, esquema ...d6/...g6 · Plan D.",SIC-P08
SIC-P09,ficha,La estructura se ha cerrado con e5-d4 contra e6-d5. El carácter de la partida deja de ser abierto y se aproxima a una Francesa con c3.,Ampliación A,1.e4 c5 2.c3 e6 3.d4 d5 4.e5 Nc6 5.Nf3,r1bqkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 2 5,Negras,"Desarrollar, enrocar y preparar c4 contra d5. Ab5 puede aumentar presión sobre c6 antes de resolver el centro.",800–1400,"Desarrollar, enrocar y preparar c4 contra d5. Ab5 puede aumentar presión sobre c6 antes de resolver el centro.","...Nge7, ...Bd7 y luego ...f6 o ...cxd4 según la colocación blanca. El objetivo es atacar la cadena, no defender pasivamente.","SIC-S05 · SIC-E09, SIC-E23 · Parte V, Plan D.",SIC-P09
SIC-P10,ficha,"Tras ...g6 y la liquidación central, el blanco tiene un peón avanzado en d5; negras desarrollan Cf6 y preparan ...Ag7.",Ampliación A,1.e4 c5 2.c3 g6 3.d4 cxd4 4.cxd4 d5 5.exd5 Nf6,rnbqkb1r/pp2pp1p/5np1/3P4/3P4/8/PP3PPP/RNBQKBNR w KQkq - 1 6,Blancas,"Cf3, Cc3 y desarrollo rápido. Si el peón d5 cae, usar el tiempo para activar piezas y ocupar columnas.",800–1400,"Cf3, Cc3 y desarrollo rápido. Si el peón d5 cae, usar el tiempo para activar piezas y ocupar columnas.","...Ag7, O-O y presión sobre d5/d4. La prioridad es actividad, no bloquear el peón con demasiadas piezas.","SIC-E08, SIC-E24 · Parte IV, 2...g6 · Finales de peón aislado.",SIC-P10
SIC-P11,ficha,Las negras jugaron ...e5 y han cerrado el centro. El blanco enrocó y colocó el alfil en b5; d5 queda como casilla estratégica.,Ampliación A,1.e4 c5 2.c3 e5 3.Nf3 Nc6 4.Bb5 Nge7 5.O-O,r1bqkb1r/pp1pnppp/2n5/1Bp1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 5 5,Negras,"Mantener la presión, completar Te1/d3 o d4 según la respuesta negra y usar d5 como casilla de entrada.",800–1400,"Mantener la presión, completar Te1/d3 o d4 según la respuesta negra y usar d5 como casilla de entrada.","...d6, ...g6 o ...a6 para completar desarrollo y reducir presión. Evitar abrir el centro con el rey todavía en e8.","SIC-E14, SIC-E25 · Parte IV, 2...e5 · Método O.P.E.R.A.",SIC-P11
SIC-P12,ficha,"Las negras invirtieron un tiempo en ...a6; el blanco respondió ocupando d4. Tras los cambios y ...Cf6, el peón d5 blanco gana espacio.",Ampliación A,1.e4 c5 2.c3 a6 3.d4 cxd4 4.cxd4 d5 5.exd5 Nf6,rnbqkb1r/1p2pppp/p4n2/3P4/3P4/8/PP3PPP/RNBQKBNR w KQkq - 1 6,Blancas,"Cf3, Cc3 y Ae2/Ac4; aceptar devolver d5 si el negro gana demasiados tiempos atacándolo.",800–1400,"Cf3, Cc3 y Ae2/Ac4; aceptar devolver d5 si el negro gana demasiados tiempos atacándolo.","...e6 o ...g6, seguido de desarrollo y presión sobre d5. ...b5 solo cuando el centro ya no requiera atención inmediata.","SIC-E15, SIC-E25 · Parte IV, 2...a6 · Parte XII, mapa de memoria.",SIC-P12
